Android Studio not recognizing Class &quot;ILineDataSet&quot; from MPAndroid Chart library,"I am trying to create a line graph. I found a tutorial from the following site which I have been following:https://github.com/PhilJay/MPAndroidChart/wiki/Setting-DataThe problem I am having is with this line of code:Android studio does not seem to recognize the type ""ILineDataSet"" and as a result is preventing me from proceeding any further in completing this task.It has offered solutions to resolve it, which are:Create ClassCreate EnumCreate Inner ClassCreate InterfaceAll of which I do not think will solve the issue as I assume the library has already configured this but for some reason its not being picked up by android studio.Could someone direct me as to how I can resolve this issue?Thanks!","[java, android, mpandroidchart]"
Creating a custom Fragment with full screen map,"I'd like to build a Fragment which consists of a full screen map overlaid with other views (A ViewPager, EditText, and the like). I've thought of two different options:Create a Fragment with a MapView near the root of the layout and set it to match_parent, then use other View's as normal.Subclass MapFragment.I've subclassed MapFragment:Displaying this fragment works as normal and the map takes up the entire fragment. However, I would like to display various views as described above over the map. If I try to inflate and return a view (as you would with a normal Fragment) by instead returning a view, a NPE occurs: Caused by: java.lang.NullPointerException: Attempt to invoke interface method 'void maps.ad.y.v()' on a null object referenceIf I try calling the supers method before returning a view, the layout is loaded, but the map is not:Out of the two options, is one preferred over the other? And if #2 is preferred, what is wrong with the above code?","[android, android-fragments, mapfragment]"
Different Rounding Results in Java 6 and Java 8,I am rewriting an old Java 6 Program written to perform some scientific calculations in Java 8 and stuck up in this situation where I'm getting different results for rounding operation.Java 6 is rounding an input like 0.499999999999999999994 to 1 but Java 8 is making it 0. I'm not able to understand the problem here.For Instance:The above code behaves differently for different Java versions.It would be great if someone could shed some light on this issue.,"[java, rounding-error]"
access reachability with enough time to return true state,i have a reachability class which is checked from within my VC code as below:this is initialised from within viewDidLoad:the problem i am having is that it always returns false and i need this to load with enough time that it returns true (if it is really connected) at this point. I'm struggling to figure out where to place my setupReachability function and initialise it so that it can be accessed from anywhere in the app and return its connected state. Ive tried placing this in a separate class but can't seem to get it working or access the connected state. Any tips on how to achieve this?,"[ios, swift, reachability]"
Alexa Skills Kit - Custom Skill that Plays Audio from our iOS app&#39;s API,I am trying to write a unique Alexa Skill for the Amazon Alexa. I want to write a custom Lambda Function that plays the audio content contained at the following api (https://api.ense.nyc/latest). I've read through all of Amazon's documentation on the subject:Building a Custom SkillFlashbriefing SkillI am confused about exactly how to proceed in writing a unique lambda function.,"[amazon-web-services, alexa-skills-kit]"
Firefox for Android Select Element Does Not Drop Down,"I encountered something very unexpected today in Firefox for Android (Samsung Galaxy Tab S2; Android 6.0.1). HTML &lt;select&gt; elements are not dropping down, but instead an overlay-style popup is being displayed. Simple example:In Firefox for Android (50.1.0):Clicking the dropdown produces this:Both Chrome for Android and the Android Browser display a dropdown as expected. In Chrome for Android (55.0.2883.91):I see nothing in Firefox Settings to alter this behavior. Anyone know why/how to fix this?","[android, html, css, firefox]"
iOS Thread 1 signal SIGABRT Error,"I am getting the ""Thread 1: Signal SIGABRT Error"" in my code. I have tried to reload my code into a different XCode project, inserting the like of code into a try/catch block, cleaning and rebuilding the project, tried checking some of my connections on the storyboard and I still can get anything resolved here.Here is the source code of the main.m file:The error is showing up on this line of code:The XCode console is showing the following errors:Any help here would be greatly appreciated.","[ios, xcode8, sigabrt]"
how to address Git error &quot;the requested upstream branch &#39;upstream/master&#39; does not exist&quot;,I am attempting to follow some steps to contribute to a repository on GitHub and one of the steps is not working. The steps are here: https://github.com/wdbm/qTox/blob/master/CONTRIBUTING.md#how-to-open-a-pull-request.I fork the repository on GitHub.I clone the repository:I access the directory of the local repository:I add the upstream remote in order to be able to fetch from the upstream repository:I attempt to point the local master branch to the upstream repository:This command fails with the following error message:How should I address this error? I am using Git 2.9.3.,[git]
Python: Having issues displaying values from a dictionary,"I'm having issues displaying the keys from within a dictionary based off user input. Whenever I run the code without the 'hour -=1', it only displays 'doce' when I'm trying to display whatever number the user inputs. If I allow the 'hour -= 1' in, it displays 'once'. I've even tried turning the input into an integer but i still come up with the same issues. Thank you for help in advance. ",[python]
IndexError: too many indices for array. Can&#39;t update mplot3d plot with slider widget,"I'm trying to make a line rotate around an axis (0,0,1) using sliders. I don't understand how the method set_data and set_3d_properties work, and haven't found documentation on them, which is the root of my problem. I have a line segment from two points (0,0,0) to (2,0,6) that I am able to draw in 3d. Using the set_3d_properties method, I am able to then change the x value, the y value, or the z value of the end of the line, while the others set to 0 for some reason. I cannot change all of the values with a slider. Notice the commented out code in lines 67 and 68. If uncommented, then the y and z axis components will then update based on the slider (base rotation, the others aren't important), but never all three.I then tried to pass in 2d arrays with the first point and the second point for the line in the format to the set_3d_properties and set_data methods. I plotted usingso I figured that if I updated those points, then my line would move. Unfortunately, it seems like set_3d_properties and set_data don't take inputs in the same format that the graph was plotted in, and I understandably got an error ""IndexError: too many indices for array""Is there a way to have multiple 3d properties update for a line using a slider? Also, what does the b, = ... notation mean? Is there a documentation page that I couldn't find that explains how these methods work? I've been struggling with this for a few days, any help would be greatly appreciated. ","[python, animation, matplotlib, mplot3d, matplotlib-widget]"
The best practice to implement custom\user control in WPF,"I have a list of custom controls that should look something like this Before I start to implement them through a custom or user control in WPF (via MVVM), I want to ask if I do everything right. I create a DataTemplate and binding properties I need (these are the numeric values (0.13) in columns) and ItemTemplat'ing it to listview or listbox. Also I'm having an observable collection of viewmodels for these templates and every viewmodel sends some specific numeric data through short intervals from slave device. Also I need this green element to be clicked (just to add a button to a template I guess) and having displayed an additonal window with real time plots. So my question is: Is this the right approach I'm talking about or do I have something wrong? I'm quite new to WPF, so please excuse me. I dont think that it is a great challenge to implement something like this. ","[c#, wpf, mvvm, datatemplate]"
Edit URL from .txt file loaded from Array,"Javascript is one of those things I've never really been strong with or spent enough time so I would appreciate some help for a little job I have to finish.I have managed to get end of the URL's loaded into an Array from a .txt file.I want the end of a URL to be changed every couple of seconds based on what is in the array, Open a new tab and close the previous one.Example:Here is the current code I have :","[javascript, arrays]"
Node js require code instead of file,"I am trying to setup an interface, where I can write one js file that can be used on the server (nodejs) and on the client (javascript).An example file would be a Vector object, that I would like to use on both the client and the server, as I am creating a multiplayer game.In node.js, I know that you can use the following syntax to require source files...Then you can access its module.exports by typing in Vector.The problem here is that for the server I need an extra bit of code at the end of the file...... which is not necessary on the client.Is it possible to maybe require source code, something like the following?If not, there might be another way of doing what I am trying to accomplish.That might sound a little confusing, but help is greatly appreciated!Thanks in advance,David.","[javascript, node.js, require]"
JavaFX: Change CSS PseudoClass on Key Event,"I have a button which changes it`s design when it is clicked. (Per CSS) Easy.But I also want to enable the function that if you press ENTER it should also be pressed. That works, but I have a pseudo-class which sets the size of the button to 90% (.button:pressed).Problem: It doesn't work when the Enter key is pressed. The click works fine. Is there any css pseudo-class for KeyTyped?CSS:Thank you in advance :)","[css, button, javafx, scenebuilder]"
Cannot Use Python 2 from Command Line,"I recently tried to uninstall Python 3.5.2 and installed Python 3.6.0. I used to use python in the command line to run Python 3.5.2 from the command line, and py to run Python 2.7.12. Now, python runs Python 3.5.2, and py runs Python 3.6.0. I am running Windows 10, and python3, python2, py2, and py3 do not do anything.","[python, windows, python-2.7, python-3.5, python-3.6]"
exporting svg image from matlab surface plot,"I need some to produce some publication-quality figures. I first export the figures from matlab in .svg format, and then I do some post-processing in inkscape. I am no problem with figures generated using plot or scatter, but when I export figures generated using surf (in view(2)), I run into problems. If I use plot or scatter, I am able to ungroup and process various parts like the title, axes, scattered points, lines, etc. in inkscape. For surf, however, matlab just exports one single figures with all various parts grouped into one single unit. I can't separate individual part, and when I zoom very close I can actually see the bitmap resolution for the axes and titles (if I use plot, the titles and axes have 'infinite' resolution when I zoom very close). I am fine with the surface plot having finite resolution, but I need to at least be able to process the axes and titles (which I currently cannot do). What should I do so that I can 'separate' the title and axes from the main plot, just like figures generated from plot and scatter?","[matlab, svg, plot, figure, surface]"
How to create regex for a arbitrary string of digits that must be equal and can optionally be separated by space,"I've spent about 3 hours trying to create a regex to validate a coordinate string that's homebrew (but based on MGRS). I've always had a rough time with regex and this one's starting to make me slam my head on my desk.I normally wouldn't ask for something this specific, but none of my friends who know regex were available to help, and my own research/attempts to learn at this point are taking too long.How would I go about creating a regex to validate the following (or is it even possible to do)? AZ AA 0123456789 0123456789 HG-20All whitespace is optionalThe first and second set of 2 characters is case insensitive, but must be a-z and be 2 characters for each section (first is grid zone identifier, second is subsection identifier).The easting and northing digit portion can be any arbitrary length, so long as the total number of digits between the 2 ""sections"" is even (e.g. ""1 1"" is valid, ""04563213245 54986187995"" is valid, ""5598 549"" is invalid). This is the part that I'm really just at a loss for.The 'H' is mandatory, but case insensitive (it's a delimiter for the ""height"" component of the coordinate string)The 'G' is optional (it indicates whether to use the locations ground height or not when converting to Unity coordinates)The last bit is a float, which can be negative. If a period is there, then a digit must follow.The entire height section is optional. If ""H"" is present, at a minimum a digit must come after (same rules as the last 2 bullet points basically).I'm using C# and System.Text.RegularExpressions for the regex engine.The part that's really getting to me is the main digit component. I'm not sure if this is possible (especially considering that the easting and northing can be seperated by whitespace).So far I've been able to come up with:But it doesn't actually validate whether the length of the coordinates sans whitespace is even or not and isn't able to tell if the entire height section is optional or not (it technically makes the H required...no clue how to subsection it...).Ultimately, since I break the string apart in code I could validate it with actual code (if the digit sub string is not even throw InvalidArgument or ArgumentOutOfRange exception since this logic happens in a constructor for a Location class). That seems like it would be bad juju if the validation can be done in regex though.Examples:AZ AA 012345 012345 HG-20 (valid)AZAA 012345 012345 HG-20 (valid)AZAA012345012345HG-20 (valid)AZ AA 012345 012345 (valid)AZ AA 012345 01234 (invalid, easting and northing are different lengths)AZ AA 012345 012345 HG (invalid, must have digits if 'H' is present)AZ AA 012345 012345 H (invalid, must have digits if ""H"" is present)Thanks!In case anyone is curious about how my code currently looks:","[c#, regex, validation]"
Remove logging of current task in Grunt,Is there a way to configure Grunt via its API or CLI tool to make it run quietly and stop polluting my console with information about every single task that runs? I've looked through the documentation and Googled extensively but can't find anything.,[gruntjs]
Is this function call really ambiguous?,"I'm learning about multiple inheritance and the diamond problem, and when I make a function call from the most derived class Visual Studio tells me that the call is ambiguous:I understand if I had overridden the base class function in the B and C classes then the call would be ambiguous, but isn't ""aFunction()"" the same in B and C?Also, making B and C inherit from A virtually makes the error go away. But my understanding of the keyword ""virtual"" when inheriting, ie., (Derived : virtual Base), is that it prevents a ""more derived class"" further down the chain from inheriting multiple copies of a Base up the chain. In inheritance multiple copies of member variables can be inherited, but only one copy of a function with the same name. So for example I could have 5 Derived classes each deriving from Base, and then a MostDerivedClass inheriting from all the 5 Derived classes, in the MostDerivedClass I would have 5 copies of the Base class ""member variables"", but only one copy of a function with the same name. So in other words the ""virtual"" keyword for inheritance should prevent multiple Base ""member variable"" copies. I don't understand why it would clear up an ambiguous function call in this case.EDIT: Thank you, it's slowly sinking in. It was impossible for me to imagine ""two copies"" of A in D, because A is empty (no size). But then I remembered that C++ never creates empty classes, on my setup for example an empty class has size 1. Then I was able to imagine ""two copies"" of A in D, and it's starting to make sense now.","[c++, inheritance, polymorphism, virtual]"
New to React and I wanted to know How would I make a widget its own component to render,"I'm building a sports analyst web app. I'm made process but to give users updated information on injured players I want to place this widget on the site:I thought about making an AJAX call to the given link but all the info and already,so I didn't think that would make sense. Please help if you can. Also here is what i wrote so far:var React = require('react');var ReactDOM = require('react-dom');var $ = require('jquery');const News =React.createClass({ getInitialState(){ return({list:[]}) },receiveDailynews(){ var that = this $.ajax({ url:""http://www.fantasylabs.com/nba/widgets/news/"", success: function(data) { console.log('DATA:', data) var injuried = data.results[ that.setState({ title:injuried, })  } }) },render(){ console.log(""OUR STATE ===&gt;"", this.state) return( &lt;div&gt; &lt;ul&gt; {this.state.list.map((el,key) =&gt; { return &lt;li key={key}&gt;{el}&lt;/li&gt; })}  &lt;/ul&gt; &lt;/div&gt; ) }})export default News;","[javascript, ajax, reactjs, iframe]"
Botframework customize web chat control,"Is there a way to customize the appearance of the Microsoft Bot Web Chat Control?I've seen in the doc the ability to change size with the syntaxiframe style=""height:480px; width:402px"" src=""...""but how to change:1) the accent color of the title bar2) the language used in the automatic texts (like ""Type your message..."")",[botframework]
Kafka producers/brokers not using specified IP,"So I have a cluster of 6 machines. These machines have 2 IP address (a public and a private). The private IPs are using a high speed network (1 GBps) and the public are using a slower network (120 MBps). While configuring my kafka/zookeeper cluster, I had set the private IP as the brokers's ip. Now my configuration is fine as I can see output saying that all my brokers are connected on the correct IPNow when I was testing the producer's performance, I could get a throughput more than 120 MBps. When I used nload, to check how much data is going through each interface, I found that data was coming in and going out through the public IP interface (slower network interface). I rechecked the zookeeper and kafka logs, but they both say that my brokers are on the private IP.Any ideas on what is the issue or what do I need to change?","[apache-kafka, kafka-producer-api]"
How to close a chrome browser pop up window?,"I am writing a code for Facebook where it takes the URL, ID, Password from a properties file but upon logging in I am hinted with a ""Facebook wants to show notifications - Allow - Block"" How do I make it so after login it (A.) Presses ESP or ALT+F4 and closes the popup or (B.) Finds the notification and closes it itself. This is what Im using but its not working. Any help is appreciated.","[java, selenium, selenium-webdriver, selenium-chromedriver, selenium-ide]"
Java8 - idiomatic way to process a Stream&lt;Callable&lt;...&gt;&gt; in parallel delivering to a sequential consumer?,"Suppose I have a Stream&lt;Callable&lt;SomeClass&gt;&gt; stream;. The stream is accessing over a million objects which will not fit in memory.What is the idiomatic way to convert this to a Stream&lt;SomeClass&gt; in a manner that ensures the Callable::call are executed in parallel before being delivered to a consumer that is non-threaded-safe (perhaps by calling .sequential().forEach() or some other bottlenecking mechanism)?i.e. Process the stream in parallel but deliver the output sequentially (random order ok, as long as it's single-threaded). I know I could do what I want by setting up an ExecutionService and a Queue between the original stream and the consumer. But that seems like a lot of code, is there a magic one-liner?","[java, parallel-processing, java-8, java-stream]"
What does the &#39;free(): invalid next sign (fast)&#39; error really mean?,"Let's say I've got a program foo that allocates and frees memory. I run it like this:It works perfectly, exits with no errors. Now, if I set the first line of the file to #!/path/foo, change the permissions, and run it as ./something.foo, the program runs correctly, but before exiting, I see this:I've seen a lot of questions about free(): invalid next sign(fast), all with specific code examples. So I've got two questions:Why might the error appear when using #!/path/foo instead of ./foo?What exactly does the error mean - what conditions must be present for it to appear?Huh, fixed this by changingto","[c, free]"
Trouble editing TextView within Fragment,"So I am still fairly new to working with Android Studio and everything in it. I have been stuck on trying to get fragments to communicate directly with each other. Here I'm simply just trying to set the TextView text element within one of my fragments. I have looked for hours and tried a lot, but I'm not sure what to do. Also, I am implementing my fragments through code in a FrameLayout.Here is my fragment whose text value I'm trying to edit:}I believe my root problem is that getView() and sender both return Null. I also understand that fragments are not technically views, but rather aid in the layout of views and ViewGroups. Any help is appreciated.Not sure if it helps, but this is the method that calls the updateText() method within the ReceivingFrag class.**Edit:This is my MainActivity class that is calling and creating the Fragment:**Edit 2:This is the MainActivity layout file:And this is the layout for the Fragment:Solution:So as mentioned below, the runtime error was fixed by addingto the MainActivity class. After reading from https://developer.android.com/guide/components/fragments.html#LifecycleI think the statement ""Once the activity reaches the resumed state, you can freely add and remove fragments to the activity. Thus, only while the activity is in the resumed state can the lifecycle of a fragment change independently.""best explains the situation and why the error initially occurred.","[android, android-fragments, textview]"
Flow declaration file with CommonJS,How do I write a proper Flow declaration file when using CommonJS like this?This is in a file named demo.js.Here is what I tried. This is in a file named demo.js.flow.Flow still complains that the parameters a and b are missing annotations in the previous file.,"[javascript, commonjs, flowtype]"
Keeping track of 2 key array,"I'm trying to implement a polling system where if the user lands on a particular poll page and actually answers the question, then the id and their option will be logged. For example, let's say the id of that question is 67 and they answered option 2, then I want the array to look something like this: 67:2. The log array data will be kept in a SESSION variable, and each time the user answers a question it'll add on to this array. When the user tries to navigate to a poll he/she answered already, then it'll display the answered option.I know I could use concatenate and the in_array function if this was an array of only numbers, like ""3,2,1,5,6"" but how can I do this for this type of array? (""3:1, 2:2, 1:1"") where the first digit is the id and the second digit is the option chosen. How do I use if (in_array($id)) when after concatenation it'll be something like this ""3:1""? ","[php, arrays, session-variables]"
form:error not showing error,"When validating object controller just refreshes the page, instead showing errors via form:errors, can you tell me where is the problem. I guest it needs to get error from binding result and insert it into the page, instead controller is just refreshing pageController : Validator :jstl page : ","[spring, spring-mvc]"
Calculating a simple decimal in rails console using postgresql,"Ok...I think I'm missing something very obvious here but haven't been able to google myself through this solution. I have two simple rails methods that calculate the number of up votes and down votes. They will always return a fraction because i'm trying to show a percentage (up_vote_count / votal_vote_count). I open the rails console and run the following:then...This returns 1 as is expectedThis returns 1 as is expectedThis returns 2 as is expected.However, when I run in the console...y.up_vote_count / y.total_vote_countThis returns 0 when it should return .50. I've been reading about floats/integers/decimals, etc and I do see this in the schema on the model i'm working from:Is this my problem?...and if so what do I have to do to allow myself to do a simple formula like the one above in rails console that will return the correct decimal rounded to 2 digits (i.e, .50 in this case above). I don't know if I want to run any migrations to change data types because this is a gem (&amp; as a beginner I tend to stay away from customizing code from any gems I'm using). Is there another way? something small i'm missing hopefully?UPDATE:I'm learning decimals are slower than floats also, so is there any way to accomplish this with continuing to use t.float ""value"", default: 0.0thanks for any help.","[ruby-on-rails, ruby-on-rails-4, floating-point, decimal, rails-console]"
Grid layout empty lines to be visible,"I have a grid layout of images that at some point disappear from the grid. The problem is that when a whole row/column disappear the following ones take its position.For example if i have a table of 1 2 3 4 5 1 2 3 4 5and remove the 4s, the 5s will take their position.I need to leave the column/row space empty. (I wasn't sure what title to write.)","[android, android-layout]"
Getting Error in installing cmph library in macOS Sierra 10.12.2,"I am trying to use the cmph library for the perfect hash function in my code and I am trying to run the simple example I installed the library by downloading the cmph package from website and did ./configuremakemake installBut when I try to run the aforementioned program, I get the following error.fatal error: 'cmph.h' file not foundthen I solved that problem by specifying the '/usr/local/include' path through -I flag but I get another issue as follows : Any help would be appreciated.","[c, compiler-errors, linker-error]"
Can not access the programatically added UIView in XCTest,"Below is my recorded XCTestWhen I am trying to run the test the last part that is:is not accessible. It does not throw any error but the last line of code is not executed.I have tried solving the issue by referring to the following stackoverflow question : Xcode UI Tests can&#39;t find views that are added programaticallyAlso , I have referred to the following Apple Documentations: https://developer.apple.com/library/content/documentation/UserExperience/Conceptual/iPhoneAccessibility/Making_Application_Accessible/Making_Application_Accessible.html#//apple_ref/doc/uid/TP40008785-CH102-SW2https://developer.apple.com/reference/uikit/uiviewBut all these doesn't seem to solve the issue. Any help will be greatly appreciated.","[ios, xcode, swift3, xctest, ui-testing]"
Sqlite - get the most recent record per table,I am keeping track of people changing their names. I have three tables:The NameIDs in tables 2 &amp; 3 map to the id in table 1. Every time a person changes their first name I add a record to table 2 and every time a person changes their second name I add a record to table 3. I keep list of all their historical names.My aim is to use a SELECT query to pull back what each person's name today is i.e. I need to SELECT the most recent pair of names for each unique id in table 1.My end table should look like this:I can get the most recent firstnames and secondnames as follows:But how can I put these 2 queries together? (Sorry if easy question - I am quite new to this and please let me know if anything unclear at all - thanks in advance!),"[sql, sqlite]"
tf.nn.softmax_cross_entropy_with_logits() error: logits and labels must be same size,"I am new to TensorFlow and am trying to write an algorithm to classify images in the CIFAR-10 dataset. I am getting this error:Here is my code:I'm pretty sure this means that in line 48 (shown above) prediction and y are not the same shape, but I don't understand TensorFlow well enough to know how to fix it. I don't even really understand where y is being set, I got most of this code from a tutorial and fiddled with it to apply it to a different dataset. How can I fix this error?","[python, tensorflow]"
"flatMap, Struct and JSON in Swift 3","I am having a problem with initializing Struct with JSON Data received from the URLRequest in Swift 3. The protocol JSONDecodable: The struct is as follows and it implements extension that conforms to JSONDecodable:Then I have the following code where I try to map an array of dictionaries to struct Actor. I think that I mix Swift 2 and Swift 3 syntax together. However, I get the following error: 'flatMap' produces '[SegmentOfResult.Iterator.Element]', not the expected contextual result type 'Void' (aka '()')Any help would be greatly appreciated!","[ios, swift, struct, flatmap]"
Android Annotations Logging Interceptor end-of-input error,"I am using Android Annotations to make requests to a server. I created the following interceptor based on the answer to this question However, this is producing the following exception: org.springframework.http.converter.HttpMessageNotReadableException: Could not read JSON: No content to map due to end-of-inputWhen I remove the following lines from the interceptor:Everything works fine.Here is my RestClient interface:User Model:RestClient call in my ActivityThe server produces the following json:I'd like to be able to log the body of each response, and then return the response object. But it appears that reading the InputStream from the response first is causing some problems.Is yielding the correct server response, but then I run into the above exception when the MappingJackson2HttpMessageConverter kicks in.Any help would be greatly appreciated! Happy New Years! :)","[android, rest, android-annotations]"
Android DataBinding &quot;??&quot; notation and parametrized string from resources. How to avoid &#39;null&#39; text?,"I have some TextView's in my App that is compounded by a key from strings.xml resource file and a parameter that is passed dynamically. I use Android Data Binding where the '??' notation means it should replace nulls with blank strings, as example bellow shows. But when the parameter value is null until the TextView is full loaded with data we see something like ""null min"" when I like it to be: "" min"".in strings.xml:","[android, android-resources, android-databinding]"
Gorilla websocket with google app engine,"I am getting following error when I am running ""goapp serve myapp/"" from Myproject folder inside src. go-app-builder: Failed parsing input: parser: bad import ""unsafe"" in github.com/gorilla/websocket/client.go from GOPATHmy file structure is some something like thisPlease let me know how to correct this. on a related subject, I read that google app provide websocket support only in paid app. Is there a way for me to test my website before getting into payment mode? Or is there a better option that google app engine?Thanks,","[google-app-engine, go, gorilla, gorilla-toolkit]"
Set focus on input - React Component,"I have a react component which has a input field with disable attribute. On click of the component, the input gets enabled and user can type on the field. I'm able to achieve till there, but I need to focus on input field on getting enabled.Attributes.jsThe Attribute file : UPDATEI tried onFocus for input, Right now I'm hard coding the refs name as pets, but is there any way to make it dynamic by sending the name with the onFocus?","[javascript, reactjs, input, redux, react-redux]"
How to update UI using the JSON result through a completion handler?,"I'm trying to update some labels based on data returned from JSON. Here are the data objects and the function to update the JSON data objects :Here is where I'm trying to update UI:As of right now when the viewDidload is called the labels are blank, I tried adding a self.view.setNeedsDisplay() to the end of the completion block but the labels still remain blank. EDIT: I noticed if I put a breakpoint inside the completion block in the viewDidLoad it's not called.","[ios, json, swift, nsurlsession]"
what is the best way to handle npm packages with meteor 1.4,i'm now made a great upgrade for my app from meteor 1.3 to 1.4 and also upgrade node and other packages.and I just think now what i can rebuild better and what improvements i can do to be more appropriate with the new version.my specific question is how need i handle all npm dependencies in production with meteor 1.4.meteor npm? npm-container?(i'm use Mup for deployment),"[meteor, deployment, npm]"
Bootstrap dropdown menu not opened after clicking,"I am running this code in a brand new Angular 2 project generated from Angular-cli. But, the dropdown menu can't show after I click the button.Also, very like to know how to debug this kind bootstrap/css problem to avoid just asking help.Thanks a lot!","[angular, angular-ui-bootstrap]"
How to set pointer to null when freeing a circular linked list,"When freeing the memory of a circular linked list like above, how can you set each pointer to null as well?","[c, data-structures]"
how can I write this assembly line differently?,Is there a way that we can rewrite the below assembly operation using only mov instruction,"[assembly, x86, nasm]"
Why is rem behaving like an em with this code?,Why is rem behaving like an em with this code?My html root font-size is 16px and this div is the only element in my html.,"[html, css, html5, css3]"
